Package,Module,Smell,Class/Module,Line no,File,Details
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.losses,sphereface_loss,Deep hierarchy,SphereFaceLoss,6,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/losses/sphereface_loss.py,Class 'SphereFaceLoss' exceeds max depth with a depth of 5.
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.losses,subcenter_arcface_loss,Deep hierarchy,SubCenterArcFaceLoss,10,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/losses/subcenter_arcface_loss.py,Class 'SubCenterArcFaceLoss' exceeds max depth with a depth of 6.
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.losses,supcon_loss,Deep hierarchy,SupConLoss,9,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/losses/supcon_loss.py,Class 'SupConLoss' exceeds max depth with a depth of 5.
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.losses,tuplet_margin_loss,Deep hierarchy,TupletMarginLoss,10,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/losses/tuplet_margin_loss.py,Class 'TupletMarginLoss' exceeds max depth with a depth of 5.
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.miners,base_miner,Wide hierarchy,BaseMiner,0,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/miners/base_miner.py,Class 'BaseMiner' has a wide hierarchy with 9 direct subclasses.
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.reducers,base_reducer,Wide hierarchy,BaseReducer,0,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/reducers/base_reducer.py,Class 'BaseReducer' has a wide hierarchy with 7 direct subclasses.
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.regularizers,base_regularizer,Broken hierarchy,BaseRegularizer,5,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/regularizers/base_regularizer.py,Class 'BaseRegularizer' and its superclass 'ModuleWithRecordsReducerAndDistance' may not share a proper 'IS-A' relationship.
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.regularizers,center_invariant_regularizer,Multifaceted abstraction,CenterInvariantRegularizer,8,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/regularizers/center_invariant_regularizer.py,"Class 'CenterInvariantRegularizer' has a high LCOM value of 1, indicating it may have multiple responsibilities."
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.regularizers,regular_face_regularizer,Multifaceted abstraction,RegularFaceRegularizer,9,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/regularizers/regular_face_regularizer.py,"Class 'RegularFaceRegularizer' has a high LCOM value of 1, indicating it may have multiple responsibilities."
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.testers,global_twostream_embedding_space,Broken hierarchy,GlobalTwoStreamEmbeddingSpaceTester,8,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/testers/global_twostream_embedding_space.py,Class 'GlobalTwoStreamEmbeddingSpaceTester' and its superclass 'GlobalEmbeddingSpaceTester' may not share a proper 'IS-A' relationship.
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.trainers,base_trainer,Insufficient modularization,BaseTrainer,9,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/trainers/base_trainer.py,"Class 'BaseTrainer' is insufficiently modularized with NOPM: 36, WMC: 73, NOM: 37."
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.utils,common_functions,Insufficient modularization,common_functions,1,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/utils/common_functions.py,"Module 'common_functions' is insufficiently modularized with NOPM: 53, WMC: 120, NOM: 54."
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.utils,logging_presets,Insufficient modularization,HookContainer,14,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/utils/logging_presets.py,"Class 'HookContainer' is insufficiently modularized with NOPM: 21, WMC: 42, NOM: 22."
KevinMusgrave_pytorch-metric-learning.tests.utils,test_calculate_accuracies,Multifaceted abstraction,TestEmbeddingsComeFromSameSource,908,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/tests/utils/test_calculate_accuracies.py,"Class 'TestEmbeddingsComeFromSameSource' has a high LCOM value of 1, indicating it may have multiple responsibilities."
KevinMusgrave_pytorch-metric-learning.tests.utils,test_common_functions,Multifaceted abstraction,TestCommonFunctions,49,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/tests/utils/test_common_functions.py,"Class 'TestCommonFunctions' has a high LCOM value of 1, indicating it may have multiple responsibilities."
