Package,Module,Smell,Class/Module,Line no,File,Details
SurrealAI_surreal.surreal.env,atari_wrappers_deprecated,Multifaceted abstraction,A2cProcessFrame,229,/Volumes/BrokeExt/NICHE/SurrealAI_surreal/surreal/env/atari_wrappers_deprecated.py,"Class 'A2cProcessFrame' has a high LCOM value of 1, indicating it may have multiple responsibilities."
SurrealAI_surreal.surreal.env,dm_wrapper,Multifaceted abstraction,DMControlDummyWrapper,11,/Volumes/BrokeExt/NICHE/SurrealAI_surreal/surreal/env/dm_wrapper.py,"Class 'DMControlDummyWrapper' has a high LCOM value of 1, indicating it may have multiple responsibilities."
SurrealAI_surreal.surreal.env,exp_sender_wrapper,Broken hierarchy,ExpSenderWrapperMultiStep,114,/Volumes/BrokeExt/NICHE/SurrealAI_surreal/surreal/env/exp_sender_wrapper.py,Class 'ExpSenderWrapperMultiStep' and its superclass 'ExpSenderWrapperBase' may not share a proper 'IS-A' relationship.
SurrealAI_surreal.surreal.env,wrapper,Insufficient modularization,wrapper,1,/Volumes/BrokeExt/NICHE/SurrealAI_surreal/surreal/env/wrapper.py,"Module 'wrapper' is insufficiently modularized with NOPM: 0, WMC: 131, NOM: 0."
SurrealAI_surreal.surreal.env,wrapper,Wide hierarchy,Wrapper,0,/Volumes/BrokeExt/NICHE/SurrealAI_surreal/surreal/env/wrapper.py,Class 'Wrapper' has a wide hierarchy with 16 direct subclasses.
SurrealAI_surreal.surreal.env.mujocomanip,default_env_configs,Broken modularization,default_env_configs,1,/Volumes/BrokeExt/NICHE/SurrealAI_surreal/surreal/env/mujocomanip/default_env_configs.py,Module 'default_env_configs' contains only data members without any method implementations.
SurrealAI_surreal.surreal.env.mujocomanip,default_object_configs,Broken modularization,default_object_configs,1,/Volumes/BrokeExt/NICHE/SurrealAI_surreal/surreal/env/mujocomanip/default_object_configs.py,Module 'default_object_configs' contains only data members without any method implementations.
SurrealAI_surreal.surreal.main,rollout,Multifaceted abstraction,rollout,1,/Volumes/BrokeExt/NICHE/SurrealAI_surreal/surreal/main/rollout.py,"Class 'rollout' has a high LCOM value of 1, indicating it may have multiple responsibilities."
SurrealAI_surreal.surreal.session,default_configs,Broken modularization,default_configs,1,/Volumes/BrokeExt/NICHE/SurrealAI_surreal/surreal/session/default_configs.py,Module 'default_configs' contains only data members without any method implementations.
SurrealAI_surreal.surreal.utils,common,Multifaceted abstraction,noop_context,278,/Volumes/BrokeExt/NICHE/SurrealAI_surreal/surreal/utils/common.py,"Class 'noop_context' has a high LCOM value of 1, indicating it may have multiple responsibilities."
SurrealAI_surreal.surreal.utils,filesys,Insufficient modularization,filesys,1,/Volumes/BrokeExt/NICHE/SurrealAI_surreal/surreal/utils/filesys.py,"Module 'filesys' is insufficiently modularized with NOPM: 23, WMC: 38, NOM: 23."
SurrealAI_surreal.surreal.utils,filesys,Multifaceted abstraction,filesys,1,/Volumes/BrokeExt/NICHE/SurrealAI_surreal/surreal/utils/filesys.py,"Class 'filesys' has a high LCOM value of 0.87, indicating it may have multiple responsibilities."
SurrealAI_surreal.test-old,test_config,Insufficient modularization,test_config,1,/Volumes/BrokeExt/NICHE/SurrealAI_surreal/test-old/test_config.py,"Module 'test_config' is insufficiently modularized with NOPM: 24, WMC: 26, NOM: 24."
SurrealAI_surreal.test-old,test_config,Multifaceted abstraction,test_config,1,/Volumes/BrokeExt/NICHE/SurrealAI_surreal/test-old/test_config.py,"Class 'test_config' has a high LCOM value of 1, indicating it may have multiple responsibilities."
