Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-in,Fan-out
regel_loudml,setup,,7,1,1,1,0,0,0,0,0
regel_loudml.loudml,__init__,,9,2,1,1,2,2,0,0,0
regel_loudml.loudml,_version,,0,0,0,0,10,8,-1,0,0
regel_loudml.loudml,annotations,,33,4,0,0,0,0,-1,0,0
