Package,Module,Smell,Class/Module,Line no,File,Details
tensorlayer_hyperpose.hyperpose.Config,__init__,Insufficient modularization,__init__,1,/Volumes/BrokeExt/NICHE/tensorlayer_hyperpose/hyperpose/Config/__init__.py,"Module '__init__' is insufficiently modularized with NOPM: 32, WMC: 41, NOM: 32."
tensorlayer_hyperpose.hyperpose.Config,__init__,Multifaceted abstraction,__init__,1,/Volumes/BrokeExt/NICHE/tensorlayer_hyperpose/hyperpose/Config/__init__.py,"Class '__init__' has a high LCOM value of 0.94, indicating it may have multiple responsibilities."
tensorlayer_hyperpose.hyperpose.Config,config_lopps,Broken modularization,config_lopps,1,/Volumes/BrokeExt/NICHE/tensorlayer_hyperpose/hyperpose/Config/config_lopps.py,Module 'config_lopps' contains only data members without any method implementations.
tensorlayer_hyperpose.hyperpose.Config,config_mbtopps,Broken modularization,config_mbtopps,1,/Volumes/BrokeExt/NICHE/tensorlayer_hyperpose/hyperpose/Config/config_mbtopps.py,Module 'config_mbtopps' contains only data members without any method implementations.
tensorlayer_hyperpose.hyperpose.Config,config_opps,Broken modularization,config_opps,1,/Volumes/BrokeExt/NICHE/tensorlayer_hyperpose/hyperpose/Config/config_opps.py,Module 'config_opps' contains only data members without any method implementations.
tensorlayer_hyperpose.hyperpose.Config,config_pifpaf,Broken modularization,config_pifpaf,1,/Volumes/BrokeExt/NICHE/tensorlayer_hyperpose/hyperpose/Config/config_pifpaf.py,Module 'config_pifpaf' contains only data members without any method implementations.
tensorlayer_hyperpose.hyperpose.Config,config_ppn,Broken modularization,config_ppn,1,/Volumes/BrokeExt/NICHE/tensorlayer_hyperpose/hyperpose/Config/config_ppn.py,Module 'config_ppn' contains only data members without any method implementations.
tensorlayer_hyperpose.hyperpose.Config,config_pretrain,Broken modularization,config_pretrain,1,/Volumes/BrokeExt/NICHE/tensorlayer_hyperpose/hyperpose/Config/config_pretrain.py,Module 'config_pretrain' contains only data members without any method implementations.
tensorlayer_hyperpose.hyperpose.Config,define,Broken modularization,BACKBONE,3,/Volumes/BrokeExt/NICHE/tensorlayer_hyperpose/hyperpose/Config/define.py,Class 'BACKBONE' contains only data members without any method implementations.
tensorlayer_hyperpose.hyperpose.Config,define,Broken modularization,MODEL,16,/Volumes/BrokeExt/NICHE/tensorlayer_hyperpose/hyperpose/Config/define.py,Class 'MODEL' contains only data members without any method implementations.
tensorlayer_hyperpose.hyperpose.Dataset,__init__,Multifaceted abstraction,__init__,1,/Volumes/BrokeExt/NICHE/tensorlayer_hyperpose/hyperpose/Dataset/__init__.py,"Class '__init__' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorlayer_hyperpose.hyperpose.Dataset.mpii_dataset,define,Multifaceted abstraction,define,1,/Volumes/BrokeExt/NICHE/tensorlayer_hyperpose/hyperpose/Dataset/mpii_dataset/define.py,"Class 'define' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorlayer_hyperpose.hyperpose.Dataset.mpii_dataset,generate,Multifaceted abstraction,generate,1,/Volumes/BrokeExt/NICHE/tensorlayer_hyperpose/hyperpose/Dataset/mpii_dataset/generate.py,"Class 'generate' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorlayer_hyperpose.hyperpose.Dataset.mscoco_dataset,define,Broken modularization,CocoPart,3,/Volumes/BrokeExt/NICHE/tensorlayer_hyperpose/hyperpose/Dataset/mscoco_dataset/define.py,Class 'CocoPart' contains only data members without any method implementations.
tensorlayer_hyperpose.hyperpose.Dataset.mscoco_dataset,define,Multifaceted abstraction,define,1,/Volumes/BrokeExt/NICHE/tensorlayer_hyperpose/hyperpose/Dataset/mscoco_dataset/define.py,"Class 'define' has a high LCOM value of 1, indicating it may have multiple responsibilities."
tensorlayer_hyperpose.hyperpose.Dataset.mscoco_dataset,format,Broken modularization,CocoMeta,7,/Volumes/BrokeExt/NICHE/tensorlayer_hyperpose/hyperpose/Dataset/mscoco_dataset/format.py,Class 'CocoMeta' contains only data members without any method implementations.
tensorlayer_hyperpose.hyperpose.Dataset.mscoco_dataset,generate,Multifaceted abstraction,generate,1,/Volumes/BrokeExt/NICHE/tensorlayer_hyperpose/hyperpose/Dataset/mscoco_dataset/generate.py,"Class 'generate' has a high LCOM value of 1, indicating it may have multiple responsibilities."
