Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-in,Fan-out
yongzhuo_nlp_xiaojiang,setup,,0,0,0,0,9,9,-1,0,0
yongzhuo_nlp_xiaojiang.AugmentText,__init__,,0,0,0,0,0,0,-1,0,0
yongzhuo_nlp_xiaojiang.AugmentText.augment_eda,__init__,,0,0,0,0,0,0,-1,0,0
yongzhuo_nlp_xiaojiang.AugmentText.augment_eda,enhance_eda,,138,36,10,10,22,22,0.2,0,0
yongzhuo_nlp_xiaojiang.AugmentText.augment_eda,enhance_eda_v2,,113,30,9,9,18,18,0,0,0
yongzhuo_nlp_xiaojiang.AugmentText.augment_eda,enhance_word2vec,,69,17,5,5,10,10,0.2,0,0
yongzhuo_nlp_xiaojiang.AugmentText.augment_keyword,__init__,,0,0,0,0,0,0,-1,0,0
yongzhuo_nlp_xiaojiang.AugmentText.augment_keyword,keyword_sim,,0,0,0,0,14,14,-1,0,0
yongzhuo_nlp_xiaojiang.AugmentText.augment_keyword,statistics_keyword,,51,8,2,2,20,20,0,0,0
yongzhuo_nlp_xiaojiang.AugmentText.augment_marko,__init__,,0,0,0,0,0,0,-1,0,0
yongzhuo_nlp_xiaojiang.AugmentText.augment_marko,enhance_marko,,97,24,8,8,19,19,0,0,0
yongzhuo_nlp_xiaojiang.AugmentText.augment_nmt,__init__,,0,0,0,0,0,0,-1,0,0
yongzhuo_nlp_xiaojiang.AugmentText.augment_nmt,nmt_local,,16,2,0,0,8,8,-1,1,1
