Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-in,Fan-out
MegviiDetection_video_analyst,setup,,71,19,3,3,17,17,1,0,0
MegviiDetection_video_analyst.demo,__init__,,0,0,0,0,0,0,-1,0,0
MegviiDetection_video_analyst.demo.main.debug,visualize_sat_training_data,,19,1,1,1,20,20,0,0,0
MegviiDetection_video_analyst.demo.main.debug,visualize_siamfcpp_training_data,,19,3,2,2,26,26,1,0,0
MegviiDetection_video_analyst.demo.main.osdet,osdet_demo_wt_got10k_image,,24,1,1,1,31,31,0,0,0
MegviiDetection_video_analyst.demo.main.osdet,osdet_demo_wt_static_image,,20,1,1,1,19,19,0,0,0
MegviiDetection_video_analyst.demo.main.video,sat_video,,194,28,3,3,27,27,1,0,1
MegviiDetection_video_analyst.demo.main.video,sot_video,,171,24,2,2,20,20,1,0,1
MegviiDetection_video_analyst.demo.resources,__init__,,0,0,0,0,0,0,-1,0,0
MegviiDetection_video_analyst.demo.resources.static_img_example,__init__,,0,0,0,0,0,0,-1,0,0
MegviiDetection_video_analyst.demo.resources.static_img_example,get_image,,4,1,1,1,18,18,0,0,0
MegviiDetection_video_analyst.docs.TEMPLATES.contrib_module,__init__,,0,0,0,0,0,0,-1,0,0
MegviiDetection_video_analyst.docs.TEMPLATES.contrib_module,builder,,25,5,2,2,6,6,1,0,0
MegviiDetection_video_analyst.docs.TEMPLATES.contrib_module,contrib_module_base,,29,6,0,0,3,3,-1,0,1
