Package,Module,Smell,Class/Module,Line no,File,Details
geoopt_geoopt.geoopt,tensor,Multifaceted abstraction,ManifoldTensor,11,/Volumes/BrokeExt/NICHE/geoopt_geoopt/geoopt/tensor.py,"Class 'ManifoldTensor' has a high LCOM value of 0.88, indicating it may have multiple responsibilities."
geoopt_geoopt.geoopt.manifolds,base,Insufficient modularization,Manifold,97,/Volumes/BrokeExt/NICHE/geoopt_geoopt/geoopt/manifolds/base.py,"Class 'Manifold' is insufficiently modularized with NOPM: 31, WMC: 53, NOM: 37."
geoopt_geoopt.geoopt.manifolds,base,Wide hierarchy,Manifold,0,/Volumes/BrokeExt/NICHE/geoopt_geoopt/geoopt/manifolds/base.py,Class 'Manifold' has a wide hierarchy with 10 direct subclasses.
geoopt_geoopt.geoopt.manifolds,birkhoff_polytope,Rebellious hierarchy,BirkhoffPolytope,12,/Volumes/BrokeExt/NICHE/geoopt_geoopt/geoopt/manifolds/birkhoff_polytope.py,"Class 'BirkhoffPolytope' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: projx, proju."
geoopt_geoopt.geoopt.manifolds,euclidean,Rebellious hierarchy,Euclidean,11,/Volumes/BrokeExt/NICHE/geoopt_geoopt/geoopt/manifolds/euclidean.py,"Class 'Euclidean' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: _check_point_on_manifold, _check_vector_on_tangent, retr, projx, expmap."
geoopt_geoopt.geoopt.manifolds,product,Insufficient modularization,ProductManifold,22,/Volumes/BrokeExt/NICHE/geoopt_geoopt/geoopt/manifolds/product.py,"Class 'ProductManifold' is insufficiently modularized with NOPM: 22, WMC: 71, NOM: 26."
geoopt_geoopt.geoopt.manifolds,product,Insufficient modularization,StereographicProductManifold,443,/Volumes/BrokeExt/NICHE/geoopt_geoopt/geoopt/manifolds/product.py,"Class 'StereographicProductManifold' is insufficiently modularized with NOPM: 21, WMC: 46, NOM: 23."
geoopt_geoopt.geoopt.manifolds,product,Insufficient modularization,product,1,/Volumes/BrokeExt/NICHE/geoopt_geoopt/geoopt/manifolds/product.py,"Module 'product' is insufficiently modularized with NOPM: 0, WMC: 119, NOM: 2."
geoopt_geoopt.geoopt.manifolds,scaled,Rebellious hierarchy,Scaled,57,/Volumes/BrokeExt/NICHE/geoopt_geoopt/geoopt/manifolds/scaled.py,"Class 'Scaled' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: _check_point_on_manifold, _check_vector_on_tangent, inner, proju, projx, egrad2rgrad."
geoopt_geoopt.geoopt.manifolds,sphere,Rebellious hierarchy,Sphere,31,/Volumes/BrokeExt/NICHE/geoopt_geoopt/geoopt/manifolds/sphere.py,Class 'Sphere' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: retr.
geoopt_geoopt.geoopt.manifolds,stiefel,Multifaceted abstraction,Stiefel,23,/Volumes/BrokeExt/NICHE/geoopt_geoopt/geoopt/manifolds/stiefel.py,"Class 'Stiefel' has a high LCOM value of 1, indicating it may have multiple responsibilities."
