Project Name,GitHub Repo_x,ML_Specific_Code_Smell_Chain_Indexing,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,ML_Specific_Code_Smell_dataframe_conversion_api_misused,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,ML_Specific_Code_Smell_in_place_apis_misused,ML_Specific_Code_Smell_merge_api_parameter_not_explicitly_set,ML_Specific_Code_Smell_pytorch_call_method_misused,ML_Specific_Code_Smell_tensor_array_not_used,ML_Specific_Code_Smell_unnecessary_iteration,ML_Specific_Code_Smell_matrix_multiplication_api_misused,ML_Specific_Code_Smell_memory_not_freed,ML_Specific_Code_Smell_nan_equivalence_comparison_misused,smell_long statement,smell_long parameter list,smell_long method,smell_long identifier,smell_empty catch block,smell_complex method,smell_complex conditional,smell_missing default,smell_long lambda function,smell_long message chain,smell_magic number,Engineered.ML.Project,Python_Percentage,refactorizable_Assign.Multi.Targets,refactorizable_Call.Star,refactorizable_List.Comprehension,refactorizable_Dict.Comprehension,refactorizable_Set.Comprehension,refactorizable_Truth.Value.Test,refactorizable_Chain.Compare,refactorizable_For.Multi.Targets,refactorizable_For.Else,PY_Assign.Multi.Targets,PY_Call.Star,PY_List.Comprehension,PY_Dict.Comprehension,PY_Set.Comprehension,PY_Truth.Value.Test,PY_Chain.Compare,PY_For.Multi.Targets,PY_For.Else,duplicated_files,violations,critical_violations,info_violations,uncovered_lines,complexity,minor_violations,duplicated_lines,sqale_index,bugs,ncloc,reliability_remediation_effort,reliability_rating,sqale_debt_ratio,comment_lines_density,security_hotspots,cognitive_complexity,duplicated_blocks,blocker_violations,major_violations,security_rating,files,security_hotspots_to_review_status,vulnerabilities,file_complexity,HIGH_reliability_issues,MEDIUM_reliability_issues,LOW_reliability_issues,HIGH_maintainability_issues,MEDIUM_maintainability_issues,LOW_maintainability_issues,HIGH_security_issues,MEDIUM_security_issues,LOW_security_issues,tot_pythonic,tot_non_pythonic,pythonic_percentage,Stars,Commits,loc,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,density_tot_non_pythonic,density_tot_pythonic
hazyresearch/fonduer,https://github.com/HazyResearch/fonduer.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,386,29,54,21,8,40,4,0,2,1,364,1.0,73.9101241177356,343.0,0.0,2.0,5.0,14.0,98.0,13.0,2.0,0.0,1.0,15.0,198.0,5.0,1.0,324.0,2.0,77.0,0.0,7.0,228.0,50.0,21.0,7458.0,1908.0,82.0,406.0,1854.0,1.0,12104.0,5.0,3.0,0.5,26.0,7.0,2224.0,26.0,0.0,75.0,1.0,134.0,7.0,0.0,14.2,8.0,2.0,0.0,58.0,66.0,103.0,0.0,0.0,1.0,623.0,477.0,0.566363636363636,268,1279,12101,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/HazyResearch/fonduer/graphs/contributors shows that there are multiple contributors,The project uses CI but not sure what is it,There is a well-maintained documentation,Evidence of sustained commit activity however quite unstable,"The project maintainers respond to issues, as evidenced by https://github.com/HazyResearch/fonduer/issues/413 and https://github.com/HazyResearch/fonduer/issues/435",https://github.com/HazyResearch/fonduer/blob/master/LICENSE is provided.,There are many files related to testing.,6350.029702970297,8293.644664466447
heronsystems/adeptrl,https://github.com/heronsystems/adeptRL.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,138,28,22,2,2,19,0,0,0,0,105,1.0,97.4630717548607,289.0,0.0,10.0,5.0,0.0,17.0,2.0,0.0,0.0,10.0,25.0,87.0,43.0,0.0,199.0,0.0,62.0,1.0,17.0,107.0,42.0,16.0,5572.0,1349.0,20.0,715.0,683.0,8.0,7747.0,60.0,5.0,0.3,23.0,8.0,1119.0,32.0,8.0,21.0,1.0,136.0,8.0,0.0,9.9,10.0,2.0,0.0,44.0,21.0,34.0,0.0,0.0,2.0,427.0,323.0,0.569333333333333,112,250,7745,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/heronsystems/adeptRL/graphs/contributors that there are multiple contributors.,CI is not used on the project.,There is a well-maintained README and documentation in https://github.com/heronsystems/adeptRL/tree/master/adept and https://github.com/heronsystems/adeptRL/tree/master/docs,Checking https://github.com/heronsystems/adeptRL/pulse/monthly there has been 4 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/heronsystems/adeptRL/issues/88",https://github.com/heronsystems/adeptRL/blob/master/LICENSE is provided,There are many files related to testing.,7916.566455696203,10465.553797468356
inferno-pytorch/inferno,https://github.com/inferno-pytorch/inferno.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,379,29,23,44,9,28,0,0,0,1,320,1.0,99.4675650705784,302.0,0.0,2.0,2.0,0.0,15.0,11.0,0.0,0.0,1.0,64.0,103.0,6.0,0.0,388.0,2.0,40.0,0.0,4.0,195.0,25.0,22.0,7114.0,1914.0,25.0,146.0,813.0,6.0,9335.0,47.0,5.0,0.3,25.1,4.0,1704.0,6.0,3.0,120.0,1.0,126.0,4.0,0.0,15.2,4.0,65.0,0.0,38.0,104.0,47.0,0.0,0.0,63.0,604.0,332.0,0.645299145299145,225,961,9337,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/inferno-pytorch/inferno/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, codes are not documented",Some commits in the last few months: https://github.com/inferno-pytorch/inferno/graphs/commit-activity,More closed issues than open. Project authors respond to issues: https://github.com/inferno-pytorch/inferno/issues,https://github.com/inferno-pytorch/inferno/blob/master/LICENSE,There are many files related to testing.,3721.3493397358975,6770.165666266512
interpretml/interpret-text,https://github.com/interpretml/interpret-text.git,0,6,0,0,12,0,2,0,0.0,0.0,0.0,0.0,273,18,21,31,2,15,0,0,0,0,154,1.0,71.0818603761649,280.0,4.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,7.0,138.0,7.0,0.0,140.0,4.0,44.0,1.0,11.0,218.0,27.0,11.0,4369.0,936.0,107.0,1110.0,1091.0,9.0,7037.0,52.0,3.0,0.5,22.4,6.0,981.0,35.0,0.0,73.0,1.0,75.0,6.0,0.0,12.5,0.0,15.0,1.0,27.0,65.0,117.0,0.0,0.0,7.0,341.0,292.0,0.53870458135861,107,135,3659,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/interpretml/interpret-text/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More open issues than closed issues, author does not respond frequently",https://github.com/interpretml/interpret-text/blob/master/LICENSE,There are many files related to testing.,2078.6536964980546,2427.4688715953307
iskandr/fancyimpute,https://github.com/iskandr/fancyimpute.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,9,3,20,0,6,0,0,0,0,84,1.0,100.0,74.0,0.0,0.0,1.0,0.0,7.0,4.0,0.0,0.0,3.0,2.0,7.0,8.0,0.0,62.0,0.0,30.0,0.0,1.0,114.0,3.0,0.0,1239.0,282.0,93.0,22.0,305.0,1.0,1766.0,10.0,3.0,0.6,25.2,1.0,245.0,2.0,0.0,18.0,1.0,25.0,1.0,0.0,11.3,1.0,13.0,0.0,4.0,16.0,93.0,0.0,0.0,12.0,112.0,86.0,0.565656565656566,822,193,1864,The source code of the project exists as ad-hoc scripts.,Multiple contributors: https://github.com/iskandr/fancyimpute/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, some codes are documented","Only one commit the past month, 2 in the past year","More closed than open, author does not respond frequently",https://github.com/iskandr/fancyimpute/blob/master/LICENSE,There are many files related to testing.,932.0000000000008,1213.767441860466
jeongyoonlee/kaggler,https://github.com/jeongyoonlee/Kaggler.git,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,109,9,6,6,1,8,0,0,0,0,114,1.0,69.447767807688,118.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,42.0,1.0,0.0,56.0,3.0,27.0,0.0,0.0,147.0,19.0,0.0,1712.0,380.0,80.0,0.0,626.0,4.0,2664.0,21.0,5.0,0.8,25.8,2.0,349.0,0.0,2.0,46.0,1.0,37.0,2.0,0.0,10.3,2.0,35.0,0.0,19.0,44.0,80.0,0.0,0.0,33.0,130.0,125.0,0.509803921568627,581,198,1659,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/jeongyoonlee/Kaggler/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, some codes are documented",No commits in the past month,"More closed than open, author does not respond frequently",https://github.com/jeongyoonlee/Kaggler/blob/master/LICENSE,There are many files related to testing.,819.6640316205533,852.4505928853755
joeynmt/joeynmt,https://github.com/joeynmt/joeynmt.git,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,399,30,60,16,7,41,3,0,1,22,326,1.0,100.0,314.0,1.0,2.0,2.0,0.0,40.0,19.0,0.0,0.0,8.0,10.0,61.0,1.0,0.0,256.0,17.0,46.0,1.0,8.0,111.0,35.0,17.0,5324.0,1305.0,25.0,274.0,964.0,1.0,9750.0,5.0,4.0,0.3,24.0,2.0,1563.0,14.0,0.0,34.0,1.0,53.0,2.0,0.0,24.6,1.0,2.0,0.0,34.0,34.0,42.0,0.0,0.0,2.0,400.0,378.0,0.51413881748072,318,530,4470,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/joeynmt/joeynmt/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, some codes are documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/joeynmt/joeynmt/blob/master/LICENSE,There are many files related to testing.,1867.0276243093924,1975.690607734807
junyanz/pytorch-cyclegan-and-pix2pix,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix.git,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,179,7,3,1,0,7,0,0,0,0,46,1.0,87.6349061115848,88.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,9.0,8.0,2.0,0.0,95.0,0.0,24.0,0.0,0.0,57.0,4.0,0.0,1716.0,427.0,44.0,0.0,197.0,0.0,1875.0,0.0,1.0,0.4,42.0,7.0,458.0,0.0,0.0,9.0,1.0,33.0,7.0,0.0,12.9,1.0,0.0,0.0,5.0,12.0,40.0,0.0,0.0,0.0,140.0,100.0,0.583333333333333,12197,453,2253,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix/graphs/contributors,No indications of using CI services,"There is a well maintained README, codes are well documented",Consistent commits in the last month,More closed issues than open. Project authors respond to issues:https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix/issues/1084,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix/blob/master/LICENSE,There are many files related to testing.,927.1604938271612,1298.0246913580256
kakao/buffalo,https://github.com/kakao/buffalo.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,84,10,16,11,1,33,0,0,0,4,265,1.0,63.1759653172864,383.0,3.0,0.0,1.0,0.0,21.0,2.0,0.0,0.0,0.0,44.0,143.0,30.0,0.0,261.0,6.0,43.0,1.0,16.0,210.0,53.0,7.0,5799.0,1327.0,61.0,1154.0,1264.0,8.0,6716.0,51.0,5.0,0.6,5.9,8.0,1247.0,59.0,3.0,86.0,1.0,58.0,8.0,0.0,22.9,4.0,27.0,0.0,54.0,80.0,68.0,0.0,0.0,22.0,528.0,410.0,0.562899786780384,447,364,7062,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/kakao/buffalo/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Some commits the past month,"More closed than open, author does not respond frequently",https://github.com/kakao/buffalo/blob/dev/LICENSE,There are many files related to testing.,6828.820754716987,8794.188679245291
kaushaltrivedi/fast-bert,https://github.com/kaushaltrivedi/fast-bert.git,0,22,0,6,0,0,0,0,0.0,0.0,0.0,0.0,164,61,46,19,7,44,2,0,3,5,209,1.0,71.1313012055789,317.0,1.0,6.0,4.0,0.0,37.0,7.0,1.0,0.0,0.0,1.0,102.0,12.0,0.0,312.0,3.0,56.0,0.0,16.0,185.0,60.0,0.0,5080.0,1242.0,40.0,3592.0,1709.0,1.0,8404.0,3.0,3.0,0.7,15.5,4.0,1724.0,48.0,0.0,85.0,1.0,41.0,4.0,0.0,30.3,0.0,1.0,0.0,60.0,84.0,40.0,0.0,0.0,0.0,486.0,373.0,0.565774155995343,1256,180,7795,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/kaushaltrivedi/fast-bert/graphs/contributors,No indications of using CI services,"There is a well maintained README, codes are well documented",Consistent commits in the last month,"More open issues than closed issues, author does not respond frequently",https://github.com/kaushaltrivedi/fast-bert/blob/master/LICENSE,There are many files related to testing.,5192.026785714285,6764.946428571428
