Project Name,GitHub Repo_x,ML_Specific_Code_Smell_Chain_Indexing,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,ML_Specific_Code_Smell_dataframe_conversion_api_misused,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,ML_Specific_Code_Smell_in_place_apis_misused,ML_Specific_Code_Smell_merge_api_parameter_not_explicitly_set,ML_Specific_Code_Smell_pytorch_call_method_misused,ML_Specific_Code_Smell_tensor_array_not_used,ML_Specific_Code_Smell_unnecessary_iteration,ML_Specific_Code_Smell_matrix_multiplication_api_misused,ML_Specific_Code_Smell_memory_not_freed,ML_Specific_Code_Smell_nan_equivalence_comparison_misused,smell_long statement,smell_long parameter list,smell_long method,smell_long identifier,smell_empty catch block,smell_complex method,smell_complex conditional,smell_missing default,smell_long lambda function,smell_long message chain,smell_magic number,Engineered.ML.Project,Python_Percentage,refactorizable_Assign.Multi.Targets,refactorizable_Call.Star,refactorizable_List.Comprehension,refactorizable_Dict.Comprehension,refactorizable_Set.Comprehension,refactorizable_Truth.Value.Test,refactorizable_Chain.Compare,refactorizable_For.Multi.Targets,refactorizable_For.Else,PY_Assign.Multi.Targets,PY_Call.Star,PY_List.Comprehension,PY_Dict.Comprehension,PY_Set.Comprehension,PY_Truth.Value.Test,PY_Chain.Compare,PY_For.Multi.Targets,PY_For.Else,duplicated_files,violations,critical_violations,info_violations,uncovered_lines,complexity,minor_violations,duplicated_lines,sqale_index,bugs,ncloc,reliability_remediation_effort,reliability_rating,sqale_debt_ratio,comment_lines_density,security_hotspots,cognitive_complexity,duplicated_blocks,blocker_violations,major_violations,security_rating,files,security_hotspots_to_review_status,vulnerabilities,file_complexity,HIGH_reliability_issues,MEDIUM_reliability_issues,LOW_reliability_issues,HIGH_maintainability_issues,MEDIUM_maintainability_issues,LOW_maintainability_issues,HIGH_security_issues,MEDIUM_security_issues,LOW_security_issues,tot_pythonic,tot_non_pythonic,pythonic_percentage,Stars,Commits,loc,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,density_tot_non_pythonic,density_tot_pythonic
feedly/transfer-nlp,https://github.com/feedly/transfer-nlp.git,1,27,1,0,3,0,1,0,0.0,0.0,0.0,0.0,120,20,11,8,5,7,1,0,1,1,79,1.0,98.9336804774508,144.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,5.0,36.0,8.0,0.0,86.0,0.0,38.0,0.0,9.0,69.0,20.0,3.0,2643.0,592.0,26.0,1044.0,262.0,2.0,3899.0,20.0,5.0,0.2,12.1,11.0,360.0,31.0,1.0,19.0,1.0,48.0,11.0,0.0,12.3,1.0,2.0,0.0,20.0,18.0,29.0,0.0,0.0,1.0,173.0,151.0,0.533950617283951,281,465,3827,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/feedly/transfer-nlp/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/feedly/transfer-nlp/tree/master/docs,There is no commit in the past month,The author of the project does not reply to issues or close them.,https://github.com/feedly/transfer-nlp/blob/master/LICENSE is provided,There are many files related to testing.,2284.098814229252,2616.881422924904
adobe/antialiased-cnns,https://github.com/adobe/antialiased-cnns.git,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,137,6,7,0,0,9,0,0,0,0,127,0.0,100.0,52.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,97.0,0.0,20.0,0.0,2.0,26.0,11.0,0.0,1361.0,323.0,5.0,73.0,201.0,0.0,1780.0,0.0,1.0,0.4,20.3,1.0,447.0,4.0,0.0,10.0,1.0,14.0,1.0,0.0,23.1,0.0,2.0,0.0,11.0,10.0,5.0,0.0,0.0,2.0,127.0,61.0,0.675531914893617,1120,115,1785,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/adobe/antialiased-cnns/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,Do reply to issues last time but not recently,https://github.com/adobe/antialiased-cnns/blob/master/LICENSE.md is provided.,There is no evidence of any testing done on the project.,380.7167832167833,792.6398601398604
allenai/scibert,https://github.com/allenai/scibert.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,30,5,6,6,0,9,1,0,1,0,54,0.0,95.7615024185706,42.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,24.0,3.0,0.0,42.0,0.0,34.0,0.0,2.0,40.0,6.0,1.0,906.0,229.0,13.0,79.0,266.0,0.0,1236.0,0.0,1.0,0.7,23.6,1.0,377.0,4.0,0.0,20.0,1.0,23.0,1.0,0.0,10.0,0.0,4.0,0.0,6.0,20.0,14.0,0.0,0.0,4.0,104.0,44.0,0.702702702702703,651,253,1237,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/allenai/scibert/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,Do reply to issues last time but not recently,https://github.com/allenai/scibert/blob/master/LICENSE.txt is provided.,There are files related to testing,485.964285714286,1148.6428571428578
amansrivastava17/embedding-as-service,https://github.com/amansrivastava17/embedding-as-service.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,265,43,45,24,1,47,4,0,0,1,125,0.0,99.872586554691,379.0,1.0,8.0,6.0,0.0,33.0,34.0,1.0,1.0,2.0,12.0,83.0,15.0,0.0,416.0,3.0,47.0,0.0,12.0,155.0,54.0,7.0,6106.0,1589.0,24.0,652.0,1331.0,3.0,9040.0,13.0,5.0,0.5,18.3,10.0,1987.0,27.0,4.0,66.0,1.0,43.0,10.0,0.0,37.0,9.0,7.0,0.0,57.0,64.0,31.0,0.0,0.0,5.0,578.0,463.0,0.5552353506244,116,373,9037,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/amansrivastava17/embedding-as-service/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,Do reply to issues last time but not recently,https://github.com/amansrivastava17/embedding-as-service/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,7538.974774774778,9411.50630630631
batra-mlp-lab/visdial-challenge-starter-pytorch,https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,1,6,0,0,3,0,0,0,0,12,0.0,99.2203357451584,52.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,26.0,9.0,0.0,25.0,0.0,9.0,0.0,2.0,9.0,2.0,0.0,776.0,155.0,4.0,51.0,85.0,0.0,1350.0,0.0,1.0,0.2,25.4,0.0,184.0,2.0,0.0,3.0,1.0,18.0,0.0,0.0,8.6,0.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,71.0,53.0,0.57258064516129,162,120,1510,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/issues/23 and https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/issues/32 but not very often",https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,964.2168674698802,1291.6867469879528
beyretb/animalai-olympics,https://github.com/beyretb/animalai-olympics.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,4,4,5,1,2,0,0,0,0,38,0.0,100.0,21.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,26.0,0.0,4.0,0.0,0.0,20.0,2.0,6.0,752.0,141.0,0.0,0.0,79.0,0.0,1811.0,0.0,1.0,0.1,8.0,2.0,131.0,0.0,0.0,12.0,1.0,32.0,2.0,0.0,4.4,0.0,1.0,0.0,2.0,12.0,6.0,0.0,0.0,1.0,41.0,27.0,0.602941176470588,516,312,1876,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/beyretb/AnimalAI-Olympics/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/beyretb/AnimalAI-Olympics/issues/83 and https://github.com/beyretb/AnimalAI-Olympics/issues/91","There is no license to be found, either in the form of a license file or written inside the source code file.",There are files related to testing,456.3243243243244,692.9369369369371
dagnyt/hardnet,https://github.com/dagnyt/hardnet.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,122,11,14,3,3,26,0,0,0,0,105,0.0,94.3516587771398,165.0,0.0,3.0,1.0,0.0,13.0,1.0,0.0,0.0,0.0,7.0,13.0,0.0,0.0,189.0,0.0,26.0,0.0,14.0,267.0,43.0,0.0,3317.0,728.0,66.0,3456.0,1388.0,5.0,4229.0,43.0,3.0,1.1,9.1,24.0,1004.0,183.0,0.0,158.0,1.0,22.0,24.0,0.0,33.1,0.0,108.0,0.0,43.0,153.0,66.0,0.0,0.0,103.0,235.0,183.0,0.562200956937799,303,100,4265,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/DagnyT/hardnet/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Some of the functions are documented,No evidence of sustained commit activity,"The project maintainers respond to issues, but mainly not resolved as there's no response from users",https://github.com/DagnyT/hardnet/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,2748.221830985918,3529.1373239436653
dsgiitr/d2l-pytorch,https://github.com/pytorchlightning/pytorch-lightning.git,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,16,13,3,0,1,5,0,0,2,0,55,1.0,99.0113710151226,3686.0,0.0,16.0,4.0,3.0,584.0,59.0,1.0,3.0,43.0,428.0,496.0,163.0,49.0,3502.0,86.0,319.0,5.0,158.0,1179.0,432.0,244.0,78654.0,19225.0,80.0,8619.0,7679.0,119.0,114872.0,722.0,5.0,0.2,21.1,157.0,12241.0,363.0,24.0,399.0,5.0,1129.0,157.0,11.0,17.0,16.0,109.0,2.0,432.0,297.0,320.0,8.0,3.0,8.0,5091.0,4356.0,0.538901238488409,3210,187,4989,The source code of the project exists as ad-hoc scripts.,https://github.com/dsgiitr/d2l-pytorch/graphs/contributors shows that there are only 2 contributors.,CI is not used on the project.,There is a well maintained README,Checking https://github.com/dsgiitr/d2l-pytorch/pulse/monthly there has been only 1 commit activity in the past month.,"The project maintainers hardly respond to issues, as evidenced by https://github.com/dsgiitr/d2l-pytorch/issues",https://github.com/dsgiitr/d2l-pytorch/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,228758.77894736925,267357.8842105273
eladhoffer/convnet.pytorch,https://github.com/eladhoffer/convnet.pytorch.git,0,1,0,2,0,0,3,0,0.0,0.0,0.0,0.0,190,49,23,1,0,16,1,0,3,0,583,0.0,100.0,195.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,0.0,2.0,42.0,28.0,10.0,0.0,157.0,0.0,21.0,0.0,12.0,82.0,8.0,1.0,3211.0,857.0,45.0,449.0,466.0,2.0,4792.0,15.0,3.0,0.3,5.6,16.0,856.0,26.0,0.0,28.0,1.0,35.0,16.0,0.0,24.5,0.0,4.0,0.0,8.0,26.0,46.0,0.0,0.0,2.0,260.0,212.0,0.550847457627119,240,159,4784,The source code of the project exists as ad-hoc scripts.,https://github.com/eladhoffer/convNet.pytorch/graphs/contributors shows that there are only 2 contributors.,CI is not used on the project.,There is a well maintained README and majority of the function in https://github.com/eladhoffer/convNet.pytorch/blob/master/autoaugment.py,Checking https://github.com/eladhoffer/convNet.pytorch/pulse/monthly there has been only 1 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/eladhoffer/convNet.pytorch/issues/18",https://github.com/eladhoffer/convNet.pytorch/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,1171.1408775981524,1436.304849884527
funcwj/setk,https://github.com/funcwj/setk.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,251,16,21,0,0,27,3,0,0,0,243,0.0,50.5143652305242,224.0,1.0,4.0,0.0,0.0,18.0,5.0,0.0,0.0,0.0,9.0,108.0,1.0,0.0,229.0,1.0,58.0,0.0,1.0,79.0,8.0,1.0,1714.0,501.0,50.0,34.0,303.0,1.0,2123.0,10.0,3.0,0.5,36.1,2.0,415.0,2.0,0.0,20.0,1.0,14.0,2.0,0.0,35.8,0.0,5.0,0.0,8.0,20.0,50.0,0.0,0.0,4.0,406.0,252.0,0.617021276595745,154,235,6824,The source code of the project exists as ad-hoc scripts.,There are no contributors to the project other than the author.,CI is not used on the project.,There is a well maintained README and documentations at https://github.com/funcwj/setk/tree/master/doc,Checking https://github.com/funcwj/setk/pulse/monthly there has been significant commit activity in the past month.,There aren't any open issues,https://github.com/funcwj/setk/blob/master/LICENSE is provided,There are many files related to testing.,3065.3262032085586,4938.5811051693445
ha0tang/gesturegan,https://github.com/ha0tang/gesturegan.git,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,53,5,3,1,0,7,0,0,0,0,66,0.0,82.2522131654497,65.0,0.0,1.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,68.0,0.0,17.0,0.0,2.0,75.0,6.0,0.0,1456.0,344.0,60.0,158.0,242.0,1.0,1621.0,5.0,5.0,0.5,10.8,8.0,366.0,6.0,1.0,8.0,1.0,23.0,8.0,0.0,15.0,1.0,0.0,0.0,6.0,13.0,55.0,0.0,0.0,0.0,96.0,82.0,0.539325842696629,116,162,1618,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/Ha0Tang/GestureGAN/issues/3 and https://github.com/Ha0Tang/GestureGAN/issues/2",https://github.com/Ha0Tang/GestureGAN/blob/master/LICENSE.md is provided.,There are files related to testing but its everywhere,982.7851851851852,1150.5777777777778
ha0tang/selectiongan,https://github.com/ha0tang/selectiongan.git,0,6,0,0,0,0,5,0,0.0,0.0,0.0,0.0,349,28,25,2,0,37,2,0,0,0,937,0.0,66.243829899972,438.0,9.0,5.0,0.0,0.0,54.0,3.0,2.0,0.0,6.0,31.0,32.0,0.0,0.0,437.0,0.0,107.0,0.0,105.0,459.0,56.0,0.0,8980.0,2108.0,230.0,10188.0,1972.0,44.0,10368.0,505.0,5.0,0.6,11.3,24.0,2300.0,157.0,43.0,130.0,1.0,158.0,24.0,0.0,13.3,45.0,3.0,0.0,58.0,145.0,212.0,0.0,0.0,0.0,613.0,511.0,0.545373665480427,293,359,7773,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,CI is not used on the project.,Functions mentioned but not well documented,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/Ha0Tang/SelectionGAN/issues/7 and https://github.com/Ha0Tang/SelectionGAN/issues/6",https://github.com/Ha0Tang/SelectionGAN/blob/master/selectiongan_v1/LICENSE.md and https://github.com/Ha0Tang/SelectionGAN/blob/master/selectiongan_v2/LICENSE.md are provided.,There are files related to testing but its everywhere,2878.263043478261,3452.7891304347827
hastagab/awesome-python-scripts,https://github.com/hastagab/awesome-python-scripts.git,0,3,1,0,1,0,0,0,0.0,0.0,0.0,0.0,129,2,14,7,8,23,2,0,0,8,231,0.0,82.8948442127596,185.0,3.0,10.0,0.0,2.0,35.0,36.0,1.0,0.0,0.0,3.0,36.0,1.0,2.0,216.0,3.0,19.0,1.0,5.0,374.0,70.0,0.0,6519.0,1367.0,171.0,201.0,2053.0,13.0,7447.0,145.0,5.0,0.9,12.8,59.0,1922.0,9.0,4.0,129.0,5.0,170.0,59.0,2.0,8.1,2.0,12.0,2.0,70.0,121.0,168.0,2.0,0.0,2.0,281.0,272.0,0.508137432188065,185,220,5579,The source code of the project exists as ad-hoc scripts.,https://github.com/hastagAB/Awesome-Python-Scripts/graphs/contributors that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README,Checking https://github.com/hastagAB/Awesome-Python-Scripts/pulse/monthly there has been 2 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/hastagAB/Awesome-Python-Scripts/issues/53",https://github.com/hastagAB/Awesome-Python-Scripts/blob/master/LICENSE.txt is provided,There is no evidence of any testing done on the project.,3578.981132075473,3697.403301886794
hrpan/tetris_mcts,https://github.com/hrpan/tetris_mcts.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,75,29,18,0,2,22,1,0,1,0,317,0.0,82.7822548928472,290.0,3.0,2.0,0.0,0.0,41.0,1.0,1.0,1.0,6.0,20.0,59.0,1.0,0.0,225.0,8.0,20.0,0.0,9.0,191.0,39.0,0.0,4682.0,963.0,56.0,333.0,1104.0,4.0,5312.0,40.0,5.0,0.7,4.3,5.0,1230.0,19.0,4.0,92.0,1.0,55.0,5.0,0.0,17.5,6.0,24.0,0.0,41.0,91.0,55.0,0.0,0.0,24.0,339.0,339.0,0.5,292,398,5273,The source code of the project exists as ad-hoc scripts.,There are no contributors to the project other than the author.,CI is not used on the project.,There is a well-maintained README,There is no commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/hrpan/tetris_mcts/issues/3","There is no license to be found, either in the form of a license file or written as comments in the source code files.",There is no evidence of any testing done on the project.,3844.187096774197,3844.187096774197
jantic/deoldify,https://github.com/jantic/deoldify.git,0,2,0,1,1,0,0,0,0.0,0.0,0.0,0.0,263,131,9,8,13,51,6,0,2,7,581,0.0,70.1493033715779,399.0,7.0,6.0,2.0,0.0,85.0,10.0,2.0,0.0,6.0,136.0,285.0,39.0,0.0,697.0,3.0,110.0,0.0,7.0,587.0,272.0,15.0,10279.0,3853.0,102.0,349.0,3455.0,20.0,11818.0,99.0,5.0,1.0,13.1,8.0,2984.0,14.0,4.0,194.0,1.0,105.0,8.0,0.0,36.7,4.0,15.0,1.0,272.0,182.0,113.0,0.0,0.0,0.0,1276.0,511.0,0.714045886961388,10478,389,3191,The source code of the project exists as ad-hoc scripts.,Multiple contributors: https://github.com/jantic/DeOldify/graphs/contributors,No indications of using CI services,"There is a README, codes are not documented",No commits in the past month,"More closed than open, author does not respond frequently",https://github.com/jantic/DeOldify/blob/master/LICENSE,There is no evidence of any testing done on the project.,1522.5032679738565,3801.78898225957
jayyip/bert-multitask-learning,https://github.com/cyberzhg/keras-bert.git,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,186,23,28,35,3,35,0,0,1,0,65,1.0,99.6714826857966,60.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,5.0,14.0,8.0,0.0,41.0,12.0,5.0,0.0,1.0,28.0,6.0,0.0,1302.0,274.0,3.0,64.0,273.0,0.0,2030.0,0.0,1.0,0.4,11.5,0.0,290.0,4.0,0.0,19.0,1.0,44.0,0.0,0.0,6.2,0.0,17.0,0.0,6.0,19.0,3.0,0.0,0.0,17.0,87.0,66.0,0.568627450980392,290,280,8627,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author.,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/JayYip/bert-multitask-learning/issues/44 and https://github.com/JayYip/bert-multitask-learning/issues/43",https://github.com/JayYip/bert-multitask-learning/blob/master/LICENSE is provided.,There are files related to testing but everywhere,1514.3138297872374,1996.1409574468128
jessevig/bertviz,https://github.com/jessevig/bertviz.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,215,48,36,35,0,52,6,0,0,2,217,0.0,86.1901976479281,320.0,2.0,2.0,2.0,0.0,31.0,32.0,0.0,1.0,1.0,34.0,30.0,8.0,0.0,334.0,1.0,61.0,0.0,13.0,111.0,52.0,1.0,5653.0,1503.0,12.0,1342.0,1165.0,5.0,7467.0,30.0,3.0,0.5,29.0,2.0,1814.0,53.0,1.0,45.0,1.0,26.0,2.0,0.0,57.8,0.0,10.0,0.0,53.0,40.0,13.0,0.0,0.0,5.0,469.0,390.0,0.545983701979045,1807,195,7189,The source code of the project exists as ad-hoc scripts.,Multiple contributors: hhttps://github.com/jessevig/bertviz/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, codes are not documented",No commits in the past month,"More closed than open, author does not respond frequently",https://github.com/jessevig/bertviz/blob/master/LICENSE,Only 1 test file,4588.723404255321,5518.234042553193
kaixhin/rainbow,https://github.com/kaixhin/rainbow.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,30,1,0,0,0,2,0,0,0,0,14,0.0,100.0,24.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,3.0,0.0,0.0,17.0,1.0,1.0,535.0,118.0,8.0,0.0,60.0,0.0,557.0,0.0,1.0,0.4,22.9,1.0,127.0,0.0,0.0,7.0,1.0,6.0,1.0,0.0,19.7,0.0,6.0,0.0,1.0,7.0,9.0,0.0,0.0,6.0,29.0,28.0,0.508771929824561,953,155,555,The source code of the project exists as ad-hoc scripts.,https://github.com/Kaixhin/Rainbow/graphs/contributors shows that there are multiple contributors but mainly 1 person,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/Kaixhin/Rainbow/issues/72 and https://github.com/Kaixhin/Rainbow/issues/70",https://github.com/Kaixhin/Rainbow/blob/master/LICENSE.md is provided.,Only found 1 file related to testing,330.6382978723408,342.4468085106387
kdexd/virtex,https://github.com/kdexd/virtex.git,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,148,6,9,1,1,7,0,0,0,21,77,0.0,99.6926173766389,114.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,6.0,48.0,9.0,0.0,54.0,0.0,20.0,0.0,4.0,32.0,7.0,0.0,1863.0,389.0,16.0,167.0,148.0,3.0,3136.0,21.0,5.0,0.2,37.5,8.0,377.0,12.0,1.0,8.0,1.0,39.0,8.0,0.0,10.0,3.0,2.0,0.0,9.0,4.0,16.0,0.0,0.0,0.0,137.0,125.0,0.522900763358779,187,165,3753,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Only one contributor: https://github.com/kdexd/virtex/graphs/contributors,No indications of using CI services,"There is a README, codes are well documented",Consistent commits in the last month,"More closed than open, author responds frequently: https://github.com/kdexd/virtex/issues/4",https://github.com/kdexd/virtex/blob/master/LICENSE,There is no evidence of any testing done on the project.,1737.5000000000018,1904.300000000002
kerlomz/captcha_platform,https://github.com/kerlomz/captcha_platform.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,95,3,12,0,13,6,10,0,0,0,75,0.0,99.9894363388725,102.0,6.0,2.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0,1.0,45.0,9.0,0.0,172.0,3.0,7.0,0.0,5.0,79.0,22.0,0.0,2510.0,699.0,10.0,1397.0,597.0,3.0,4282.0,30.0,5.0,0.5,6.1,11.0,639.0,28.0,3.0,44.0,1.0,37.0,11.0,0.0,19.4,3.0,0.0,0.0,22.0,44.0,10.0,0.0,0.0,0.0,237.0,121.0,0.662011173184358,343,146,4901,The source code of the project exists as ad-hoc scripts.,Multiple contributors: https://github.com/kerlomz/captcha_platform/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a README, some codes are documented",Consistent commits in the last month,There are no open issues,https://github.com/kerlomz/captcha_platform/blob/master/LICENSE,There is no evidence of any testing done on the project.,2771.1261682243035,5427.742990654215
lufficc/ssd,https://github.com/lufficc/ssd.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,77,10,9,1,0,7,0,0,0,2,204,0.0,100.0,129.0,0.0,6.0,0.0,0.0,13.0,3.0,0.0,0.0,3.0,9.0,14.0,6.0,0.0,111.0,2.0,23.0,0.0,2.0,40.0,3.0,0.0,2237.0,535.0,9.0,34.0,227.0,0.0,2805.0,0.0,1.0,0.3,20.3,6.0,466.0,2.0,0.0,28.0,1.0,61.0,6.0,0.0,8.8,1.0,21.0,0.0,4.0,27.0,9.0,0.0,0.0,21.0,168.0,151.0,0.526645768025078,833,117,2807,The source code of the project exists as ad-hoc scripts.,https://github.com/lufficc/SSD/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but Most of the functions in the source code are not documented.,https://github.com/lsds/KungFu/graphs/commit-activity shows there has been no activities in the past month,"The project maintainers respond to issues, as evidenced byhttps://github.com/lufficc/SSD/issues/150 and https://github.com/lufficc/SSD/issues/149",No license,One test file,1367.2806451612914,1521.2129032258078
lukas/ml-class,https://github.com/googlecloudplatform/ml-on-gcp.git,0,18,4,0,0,0,0,0,0.0,0.0,0.0,0.0,275,9,6,5,3,8,0,0,0,0,172,1.0,61.3468291089873,366.0,0.0,0.0,0.0,0.0,22.0,1.0,1.0,0.0,4.0,33.0,103.0,6.0,0.0,409.0,1.0,33.0,0.0,76.0,139.0,28.0,16.0,8391.0,1800.0,23.0,10701.0,665.0,2.0,12750.0,10.0,2.0,0.2,37.5,67.0,1392.0,118.0,0.0,72.0,1.0,205.0,67.0,0.0,8.8,33.0,23.0,2.0,30.0,74.0,33.0,0.0,0.0,21.0,589.0,390.0,0.601634320735444,1532,612,10852,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/lukas/ml-class/graphs/contributors shows that there are multiple contributors.,CI is not used on the project,There is a well-maintained README but Most of the functions in the source code are not documented.,https://github.com/lukas/ml-class/graphs/commit-activity shows there has been activities in the past without no activities in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/lukas/ml-class/issues/48 and https://github.com/lukas/ml-class/issues/40",No license,there is no evidence of any testing done on the project.,8854.142259414231,13372.02510460252
openseg-group/openseg.pytorch,https://github.com/openseg-group/openseg.pytorch.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,662,94,71,12,2,101,6,0,10,0,1618,0.0,65.0708992427045,968.0,51.0,23.0,9.0,0.0,64.0,31.0,0.0,1.0,45.0,129.0,142.0,13.0,0.0,794.0,5.0,91.0,1.0,52.0,1003.0,108.0,9.0,14928.0,3439.0,613.0,4290.0,4806.0,28.0,18839.0,125.0,5.0,0.9,13.7,53.0,4058.0,198.0,14.0,259.0,1.0,177.0,53.0,0.0,19.4,21.0,19.0,1.0,115.0,241.0,619.0,0.0,0.0,6.0,1220.0,1147.0,0.515420363329109,427,172,18832,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/openseg-group/openseg.pytorch/graphs/contributors shows that there are only 3 contributors,CI is not used on the project,There is a well-maintained README and some of the functions in https://github.com/openseg-group/openseg.pytorch/blob/master/lib/models/modules/base_oc_block.py and https://github.com/openseg-group/openseg.pytorch/blob/master/lib/models/modules/isa_block.py have appropriate docstrings,https://github.com/openseg-group/openseg.pytorch/graphs/commit-activityshows that there have been some activties in the past few months,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/openseg-group/openseg.pytorch/issues/24 and https://github.com/openseg-group/openseg.pytorch/issues/23",https://github.com/openseg-group/openseg.pytorch/blob/master/LICENSE,there is no evidence of any testing done on the project.,8385.211180124226,8918.881987577643
