Package,Module,Smell,Class/Module,Line no,File,Details
numenta_nupic.torch.examples.gsc,download_raw_data,Multifaceted abstraction,download_raw_data,1,/Volumes/BrokeExt/NICHE/numenta_nupic.torch/examples/gsc/download_raw_data.py,"Class 'download_raw_data' has a high LCOM value of 1, indicating it may have multiple responsibilities."
numenta_nupic.torch.examples.gsc_pretrain,download_data,Multifaceted abstraction,download_data,1,/Volumes/BrokeExt/NICHE/numenta_nupic.torch/examples/gsc_pretrain/download_data.py,"Class 'download_data' has a high LCOM value of 1, indicating it may have multiple responsibilities."
numenta_nupic.torch.src.nupic.torch.modules,prunable_sparse_weights,Broken hierarchy,PrunableSparseWeights,51,/Volumes/BrokeExt/NICHE/numenta_nupic.torch/src/nupic/torch/modules/prunable_sparse_weights.py,Class 'PrunableSparseWeights' and its superclass 'PrunableSparseWeightBase' may not share a proper 'IS-A' relationship.
numenta_nupic.torch.src.nupic.torch.modules,prunable_sparse_weights,Broken hierarchy,PrunableSparseWeights2d,63,/Volumes/BrokeExt/NICHE/numenta_nupic.torch/src/nupic/torch/modules/prunable_sparse_weights.py,Class 'PrunableSparseWeights2d' and its superclass 'PrunableSparseWeightBase' may not share a proper 'IS-A' relationship.
