Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-in,Fan-out
qiskit-community_qiskit-textbook..ipython.profile_default,ipython_kernel_config,,0,0,0,0,1,1,-1,0,0
qiskit-community_qiskit-textbook.qiskit-textbook-src,setup,,0,0,0,0,1,1,-1,0,0
qiskit-community_qiskit-textbook.qiskit-textbook-src.qiskit_textbook,__init__,,0,0,0,0,0,0,-1,0,0
qiskit-community_qiskit-textbook.qiskit-textbook-src.qiskit_textbook.games,__init__,,0,0,0,0,0,0,-1,0,0
qiskit-community_qiskit-textbook.qiskit-textbook-src.qiskit_textbook.games,hello_quantum,,450,105,0,0,0,0,-1,1,2
