Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-in,Fan-out
shibing624_pycorrector,setup,,0,0,0,0,2,1,-1,0,0
shibing624_pycorrector.examples.data,convert_csv_to_tsv,,0,0,0,0,2,2,-1,0,0
shibing624_pycorrector.examples.data.grammar,convert_dataset,,0,0,0,0,7,7,-1,0,0
shibing624_pycorrector.examples.deepcontext,demo,,16,2,1,1,0,0,0,0,1
shibing624_pycorrector.examples.deepcontext,predict,,20,2,1,1,1,1,0,0,1
shibing624_pycorrector.examples.deepcontext,train,,41,4,1,1,5,5,0,0,1
shibing624_pycorrector.examples.ernie_csc,change_sgml_to_txt,,23,3,1,1,11,11,0,0,0
shibing624_pycorrector.examples.ernie_csc,demo,,0,0,0,0,3,3,-1,0,1
shibing624_pycorrector.examples.ernie_csc,download,,2,1,1,1,2,2,0,0,0
shibing624_pycorrector.examples.ernie_csc,export_model,,19,1,1,1,2,2,0,0,1
shibing624_pycorrector.examples.ernie_csc,predict,,88,7,0,0,7,7,-1,1,1
