Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-in,Fan-out
AaronWard_covidify,setup,,6,2,1,1,1,1,0,0,0
AaronWard_covidify.src.covidify,__init__,,0,0,0,0,2,1,-1,0,0
AaronWard_covidify.src.covidify,cli,,70,13,9,9,3,3,0.22,0,0
AaronWard_covidify.src.covidify,config,,0,0,0,0,12,12,-1,0,0
AaronWard_covidify.src.covidify,data_prep,,74,15,7,7,25,25,0.71,0,0
AaronWard_covidify.src.covidify,data_visualization,,69,12,9,9,29,29,0.33,0,0
AaronWard_covidify.src.covidify,forecast,,32,2,2,2,18,18,0,0,0
AaronWard_covidify.src.covidify,list_countries,,8,2,1,1,0,0,0,0,0
AaronWard_covidify.src.covidify.sources,__init__,,0,0,0,0,0,0,-1,0,0
AaronWard_covidify.src.covidify.sources,github,,103,22,8,8,6,6,0,0,0
AaronWard_covidify.src.covidify.sources,wiki,,0,0,0,0,0,0,-1,0,0
AaronWard_covidify.src.covidify.utils,__init__,,0,0,0,0,0,0,-1,0,0
AaronWard_covidify.src.covidify.utils,utils,,4,2,2,2,0,0,1,0,0
AaronWard_covidify.tests,test_cli,,20,4,3,3,1,1,0,0,0
AaronWard_covidify.tests,test_data_prep,,9,3,2,2,1,1,1,0,0
