Feature,Smell,Spearman_rho,p_value,Significance (Bonferroni)
refactorizable_For.Else_norm,ML_Specific_Code_Smell_dataframe_conversion_api_misused,-0.008261896347429439,0.8861148658245576,
PY_For.Else_norm,smell_long statement,0.007508167233577943,0.8964433834099499,
refactorizable_Truth.Value.Test_norm,ML_Specific_Code_Smell_dataframe_conversion_api_misused,-0.007290995506558899,0.8994226580183567,
refactorizable_For.Multi.Targets_norm,ML_Specific_Code_Smell_pytorch_call_method_misused,0.00722517486102405,0.9003259003468423,
PY_For.Multi.Targets_norm,smell_long lambda function,0.007033639017796505,0.9029550314272707,
PY_For.Multi.Targets_norm,smell_complex method,0.006820211137652083,0.9058859117552257,
PY_Call.Star_norm,smell_complex conditional,-0.006629254523319208,0.908509290003241,
PY_For.Else_norm,smell_complex method,-0.005676050375944553,0.9216187799532929,
PY_Truth.Value.Test_norm,ML_Specific_Code_Smell_in_place_apis_misused,-0.005665136125070804,0.921769014125718,
PY_List.Comprehension_norm,smell_magic number,-0.0033690920103223924,0.9534274659086469,
refactorizable_Call.Star_norm,ML_Specific_Code_Smell_in_place_apis_misused,-0.002952134535366289,0.9591859057773302,
PY_Assign.Multi.Targets_norm,ML_Specific_Code_Smell_in_place_apis_misused,-0.002663710883217473,0.9631704725437862,
refactorizable_For.Multi.Targets_norm,ML_Specific_Code_Smell_tensor_array_not_used,-0.001232935458750882,0.9829482072723403,
refactorizable_Dict.Comprehension_norm,smell_magic number,-0.0011844136499755361,0.9836191797677345,
refactorizable_For.Else_norm,smell_magic number,-0.0008564154790234879,0.9881551044564241,
PY_Set.Comprehension_norm,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,-0.0006829564933445586,0.9905540521353267,
PY_For.Multi.Targets_norm,smell_complex conditional,9.701001938275217e-05,0.9986582271870872,
