Feature,Smell,Spearman_rho,p_value,Significance (Bonferroni)
refactorizable_Assign.Multi.Targets_norm,smell_complex conditional,0.13609086835654996,0.017780132533443835,
refactorizable_Chain.Compare_norm,smell_long identifier,0.1336467294304068,0.01995417267318882,
refactorizable_Assign.Multi.Targets_norm,smell_long parameter list,0.13364547594724568,0.019955344381739074,
refactorizable_List.Comprehension_norm,smell_magic number,0.13247515707834887,0.021075724865643155,
refactorizable_Set.Comprehension_norm,smell_complex method,0.13225257429118709,0.02129487336080873,
PY_Dict.Comprehension_norm,smell_long identifier,0.1317246642682608,0.02182254931805974,
refactorizable_List.Comprehension_norm,smell_empty catch block,0.13036813648449333,0.02323069149896083,
refactorizable_Dict.Comprehension_norm,smell_long message chain,0.12936592590553145,0.0243208303419625,
refactorizable_Chain.Compare_norm,smell_long message chain,0.12856864487384634,0.02521930080360167,
PY_Set.Comprehension_norm,smell_long method,0.1263293438795753,0.027897222693884987,
refactorizable_Truth.Value.Test_norm,smell_complex conditional,0.12585158114172285,0.028499121740618,
refactorizable_Call.Star_norm,smell_long lambda function,0.12503585727445604,0.029552526916837508,
PY_Truth.Value.Test_norm,smell_long message chain,0.12406925419605172,0.030843746693519757,
refactorizable_For.Else_norm,smell_long method,0.12366582816262117,0.03139674285780389,
PY_Dict.Comprehension_norm,smell_long method,0.12325957781623846,0.0319621404913241,
refactorizable_List.Comprehension_norm,smell_long message chain,0.12324101948159047,0.03198817509238522,
PY_Chain.Compare_norm,smell_long statement,0.12314569441317362,0.03212218730757154,
PY_Assign.Multi.Targets_norm,smell_long lambda function,0.12289957999572797,0.03247040149328356,
PY_Call.Star_norm,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,-0.12286169409179262,0.03252428896900053,
refactorizable_Chain.Compare_norm,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,0.12168183837776543,0.03424103131212372,
refactorizable_List.Comprehension_norm,smell_long parameter list,0.12064481941366026,0.03581298305778869,
PY_For.Multi.Targets_norm,ML_Specific_Code_Smell_pytorch_call_method_misused,0.1186140077705264,0.03906918109844712,
refactorizable_Call.Star_norm,smell_long message chain,0.11824015469882967,0.03969510322937188,
refactorizable_Dict.Comprehension_norm,smell_long method,0.1181081705515222,0.03991809015185092,
PY_For.Else_norm,smell_empty catch block,0.11713913382776253,0.041587876067181784,
PY_Dict.Comprehension_norm,smell_long statement,0.11690781035977774,0.04199506520198683,
refactorizable_For.Multi.Targets_norm,smell_long statement,0.11567593990569533,0.04422043225573346,
refactorizable_Truth.Value.Test_norm,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,-0.11365270883436226,0.04808996362821256,
refactorizable_Assign.Multi.Targets_norm,smell_complex method,0.11168194462304808,0.05212737164738513,
PY_List.Comprehension_norm,ML_Specific_Code_Smell_dataframe_conversion_api_misused,0.10988433004347187,0.05605231612001018,
PY_Chain.Compare_norm,smell_long message chain,0.10982343773660146,0.056189444594123936,
PY_Call.Star_norm,smell_magic number,0.10956921343333735,0.0567649594028496,
refactorizable_Set.Comprehension_norm,smell_long statement,0.10952782930832568,0.05685910540536531,
refactorizable_For.Else_norm,smell_long statement,0.10806249156630154,0.06027688978920523,
PY_Set.Comprehension_norm,smell_magic number,0.10676932861026545,0.0634322103883893,
refactorizable_Assign.Multi.Targets_norm,smell_long method,0.10531020698310865,0.06715422970979146,
PY_Set.Comprehension_norm,smell_long message chain,0.10426591407006297,0.0699264127785627,
PY_Dict.Comprehension_norm,ML_Specific_Code_Smell_in_place_apis_misused,0.10350032847548736,0.0720175484980536,
refactorizable_List.Comprehension_norm,smell_long identifier,0.10347431893269528,0.07208947698457899,
refactorizable_For.Else_norm,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,0.10340523825051012,0.07228080147247604,
