Package,Module,Smell,Class/Module,Line no,File,Details
alvinwan_neural-backed-decision-trees.nbdt,loss,Broken hierarchy,SoftSegTreeSupLoss,318,/Volumes/BrokeExt/NICHE/alvinwan_neural-backed-decision-trees/nbdt/loss.py,Class 'SoftSegTreeSupLoss' and its superclass 'SoftTreeSupLoss' may not share a proper 'IS-A' relationship.
alvinwan_neural-backed-decision-trees.nbdt,metrics,Broken modularization,metrics,1,/Volumes/BrokeExt/NICHE/alvinwan_neural-backed-decision-trees/nbdt/metrics.py,Module 'metrics' contains only data members without any method implementations.
alvinwan_neural-backed-decision-trees.nbdt.data,cifar,Multifaceted abstraction,CIFAR,9,/Volumes/BrokeExt/NICHE/alvinwan_neural-backed-decision-trees/nbdt/data/cifar.py,"Class 'CIFAR' has a high LCOM value of 1, indicating it may have multiple responsibilities."
alvinwan_neural-backed-decision-trees.nbdt.data,custom,Multifaceted abstraction,custom,1,/Volumes/BrokeExt/NICHE/alvinwan_neural-backed-decision-trees/nbdt/data/custom.py,"Class 'custom' has a high LCOM value of 1, indicating it may have multiple responsibilities."
alvinwan_neural-backed-decision-trees.tests,conftest,Multifaceted abstraction,conftest,1,/Volumes/BrokeExt/NICHE/alvinwan_neural-backed-decision-trees/tests/conftest.py,"Class 'conftest' has a high LCOM value of 1, indicating it may have multiple responsibilities."
alvinwan_neural-backed-decision-trees.tests,test_inference,Multifaceted abstraction,test_inference,1,/Volumes/BrokeExt/NICHE/alvinwan_neural-backed-decision-trees/tests/test_inference.py,"Class 'test_inference' has a high LCOM value of 1, indicating it may have multiple responsibilities."
alvinwan_neural-backed-decision-trees.tests,test_train,Multifaceted abstraction,test_train,1,/Volumes/BrokeExt/NICHE/alvinwan_neural-backed-decision-trees/tests/test_train.py,"Class 'test_train' has a high LCOM value of 1, indicating it may have multiple responsibilities."
