Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-in,Fan-out
deepmipt_DeepPavlov,setup,,18,4,2,2,4,3,1,0,0
deepmipt_DeepPavlov.deeppavlov,__init__,,6,2,2,2,1,1,1,0,0
deepmipt_DeepPavlov.deeppavlov,__main__,,0,0,0,0,0,0,-1,0,0
deepmipt_DeepPavlov.deeppavlov,_meta,,0,0,0,0,6,0,-1,0,0
deepmipt_DeepPavlov.deeppavlov,deep,,26,13,1,1,2,2,0,0,0
deepmipt_DeepPavlov.deeppavlov,download,,113,30,7,7,18,18,0,0,0
deepmipt_DeepPavlov.deeppavlov,paramsearch,,73,14,2,2,18,18,0,0,1
deepmipt_DeepPavlov.deeppavlov,settings,,10,3,1,1,1,1,0,0,0
deepmipt_DeepPavlov.deeppavlov.configs,__init__,,62,21,1,0,4,4,0,0,0
